SA2_CODE16,avg_income,Median_tot_fam_inc_weekly,Tot_P_P,Median_age_persons,Median_rent_weekly
212051319,1996.020396,1942,18298,35,375
212051320,1507.29212,1373,22407,26,360
212051321,2050.208313,1799,21085,42,441
212051322,1988.901904,1756,19241,39,420
212051323,2090.938256,1902,15277,41,421
212051324,2094.557102,1968,18334,40,420
212051325,1901.279021,1732,19368,39,381
212051326,1904.765833,1845,21290,36,371
212051327,2126.661913,1886,19753,46,420
213011328,1375.480754,1296,7836,34,275
213011329,2000.735307,1635,9657,33,369
213011330,1665.198219,1454,26253,33,320
213011331,1536.548569,1404,8339,36,300
213011332,1703.288758,1490,13189,39,320
213011333,1337.338439,1116,13831,37,290
213011334,1273.844211,1087,20092,35,288
213011335,1332.034612,1092,17224,35,280
213011336,1553.163132,1305,9768,34,300
213011337,1419.379537,1166,11700,35,300
213011338,1443.700748,1214,18585,36,300
213011339,1771.626084,1649,12009,34,330
213011340,2158.993612,1960,17340,41,363
213021341,1858.918666,1953,12689,42,335
213021342,1666.72794,1586,19160,38,310
213021343,1632.43166,1511,14002,37,340
213021344,2405.650303,2484,17578,37,400
213021345,1917.214634,1777,5124,35,325
213021346,2471.277429,2606,15453,42,370
213031347,1591.989297,1382,18230,32,300
213031348,1670.974359,1660,16345,32,310
213031349,2124.837157,2024,12216,33,380
213031350,2217.410052,2386,9235,35,345
213031351,1833.99987,1843,11457,34,301
213031352,2383.230162,2513,14798,36,400
213041353,1745.165746,1708,20345,37,270
213041355,2083.717481,1945,20216,32,346
213041356,1458.907883,1361,18906,35,260
213041357,1598.899583,1501,23437,33,286
213041358,1664.011134,1543,17551,31,290
213041359,1411.677734,1320,3040,36,210
213041360,2107.535782,1918,19224,32,369
213041461,1722.246522,1520,4751,37,350
213041462,2045.547279,1789,6072,31,369
213041463,2062.928248,1923,19900,33,365
213051361,1802.835541,1621,19224,35,300
213051362,1589.363192,1420,19477,36,295
213051363,1890.163658,1674,8907,31,312
213051365,1923.183214,1703,34784,30,330
213051366,1943.957008,1713,23412,30,340
213051368,1686.424813,1616,11333,40,281
213051369,1738.692479,1604,23273,31,301
213051464,2492.822404,2156,12197,32,381
213051465,2210.139427,2035,23180,33,361
213051466,2317.886165,2125,14433,31,380
213051467,1474.165282,1353,19861,35,277
213051468,1788.146109,1723,11809,36,280
214011370,1546.191086,1533,20711,36,325
214011371,1402.170249,1448,22570,39,286
214011372,1307.370911,1267,19289,39,290
214011373,1990.855885,2052,18199,44,355
214011374,1858.729988,1868,23836,37,320
214011375,1503.376262,1611,16463,40,300
214011376,2154.52866,2031,13077,35,400
214021377,1521.46111,1426,11024,50,330
214021378,2157.228483,1937,5369,52,300
214021379,1499.506393,1453,22016,41,280
214021380,1611.418123,1584,23989,47,335
214021381,2455.032548,2353,17888,44,428
214021382,2061.319773,2036,18548,43,400
214021383,1466.067306,1384,17123,51,300
214021384,1246.278301,1242,20943,52,285
214021385,1792.594751,1722,18089,40,323
215011386,1319.657206,1284,8297,45,200
215011387,1378.4225,1244,3146,48,100
215011388,1397.070722,1412,16250,41,200
215011389,1456.570248,1392,3412,45,120
215011390,1250.833265,1242,6887,49,130
215011391,1111.61098,1157,3352,52,140
215011392,1304.196285,1301,8093,47,175
215011393,1297.394231,1274,2763,49,80
215011394,1208.12832,1176,6627,51,133
215021395,1648.676901,1553,6874,41,200
215021396,1350.845035,1318,4778,43,180
215021398,1374.215216,1336,3720,47,100
215021399,1341.915784,1337,5879,42,190
215021469,1285.953104,1243,18068,38,220
215021470,1395.728583,1370,14555,40,250
215031400,1153.511353,1110,6200,51,120
215031401,1216.752383,1184,6651,50,140
215031402,1158.399635,1195,3893,49,170
215031403,1448.80884,1263,3313,37,177
215031404,1384.390014,1407,10905,39,200
215031405,1409.792637,1325,6374,45,150
216011406,1458.593389,1433,14574,44,250
216011407,1355.606383,1322,10912,44,185
216011408,1468.615009,1382,3802,44,145
216011409,1333.947972,1299,3880,49,170
216011410,1223.560638,1165,4041,51,155
216021411,1317.089806,1265,6348,46,200
216021412,1415.901478,1334,2570,48,150
216021413,1337.723599,1311,12265,45,175
216021414,1281.985002,1233,7930,50,240
216031415,1256.315472,1296,7939,42,200
216031416,1570.664883,1512,18601,38,230
216031417,1469.969958,1356,23134,37,235
216031418,1693.283628,1657,3853,42,180
216031419,1472.128916,1414,10133,43,200
217011420,1379.709721,1375,8719,50,140
217011421,1335.602194,1382,9974,45,200
217011422,1372.9973,1345,10800,45,200
217011423,1410.987958,1366,6073,47,100
217031471,1235.130884,1217,3496,49,200
217031472,1338.060409,1399,12250,42,215
217031473,1446.206977,1376,5321,45,175
217031474,1328.328223,1279,5385,48,150
217031475,1513.530749,1373,7160,43,150
217031476,1228.678722,1205,3429,52,245
217041477,1539.953835,1482,6648,42,150
217041478,1536.300891,1470,9432,44,223
217041479,1520.163543,1510,21097,39,250
217041480,1485.872396,1498,12921,43,250
297979799,,0,29,49,0
299999499,,0,7565,34,0
